nama_pengguna,tanggal,ulasan,label_sentimen,nama_layanan kesehatan
arini aflaha,11 bulan lalu,"Mohon maaf pelayanan nya kurang,sedikit kurang sopan dan jangan di beda bedakan ya pasien nya . Tolong ya pelayanan nya lebih baik ditingkat kan lagi.Mohon maaf sekali lagi terimakasih",negatif,Puskesmas kamal
ach. barisi salim,setahun lalu,"Pelayanan Kurang Profesional Masak sama dokternya sudah di fonis pulang sejak jam 08.00 Namun Sampai jam 11,20 belum di proses terkait administrasinya.. eronisnya.. ini ada apa...!!! Atau ada penguluran waktu agar dampak di tambah harinya kalau sudah masuk jam 12.00",negatif,Puskesmas kamal
haeru rohman09,setahun lalu,Pelayananya buruk... Perawat kesehatnnya malas malas... Tidak respon tanggung jawab kurang.. Mending ke RS Lukas / Anna Medika lebih baik... Pikir pikir lagi dah kalau mau ngamar di rs syamrabu bangkalan.. Jelek pokok bikin gak betah,negatif,Puskesmas kamal
bayu darmawangsah,setahun lalu,"Pelayanan tidak bagus Pelayanan Lelet Pelayanan dulu baru buat laporan masuk IGD gak ada penanganan Pertama malah disuruh nunggu dokter terus, masuk jam 3 pagi dilayani jam 10pagi dokter jaganya mana dari sekian ribuan lulusan kedokteran masak gak ada dokter siaga 1pun",negatif,Puskesmas kamal
budianto budianto,9 bulan lalu,"Tolong dibenahi masalah parkirnya terutama parkir mobil, masak yg ada hanya petugas parkir diluar buat narik retribusi yang didalam semrawut parkir mobilnya gak ada yang jaga keluar mobil aja susah, terima kasih",negatif,Puskesmas kamal
pramana putra,2 tahun lalu,"Tolong di benahi,ruang tunggu panas pengap. Kasian yang nunggu,,mandi keringat. Ruang tunggu poli,,cuma di kasih kipas angin sebiji doank. Ac Mati.",negatif,Puskesmas kamal
herlambang aulia,2 tahun lalu,"Petugas atau Perawat sangat tidak ramah. Tidak Solutif juga. Memberikan informasi banyak yg tidak sinkron dengan dokter, sehingga membingungkan pasien. Padahal kita ini butuh dilayani, tetapi kok malah terkesan kita yang repot. Akan sulit kembali kesini lagi, pertama dan terakhir, inipun karena diminta oleh instansi untuk MCU disana. Sangat Mengecewakan",negatif,Puskesmas kamal
abdul adhim,2 tahun lalu,"Platformnya sih ""yukoperasisyamrabu"", maksudnya apaan yah? Cuma buat banyak-banyakan pasien atau gimana? Benar, sudah digratiskan tapi kalau pelayanannya tidak ada peningkatan ya percuma. Keluarga saya memutuskan operasi mokukel di bawah lidah, diintruksikan puasa dari jam 7 pagi, operasi dari jam setengah 2 siang sampai jam setengah 4 sore. Nah pasca operasi yang membuat saya kesal, tidak ada informasi dari perawat maupun dokter kapan bisa makan dan minum, sumpelan kain kasa masih di mulut juga, minum dengan sedotan pun tidak bisa sampai pukul 11 malam. Pasien mengeluh kehausan dan nyeri karena tidak ada tindakan apapun, entah itu diperiksa ataupun diberi obat nyeri (orang awam seperti kami memilih tindakan tersebut agar ketika kita cemas ada yang membuat tenang, bukan malah diam saja). Dari sini saya sadar mungkin platfrom ""yukoperasisyamrabu"" hanya untuk mencapai target mereka. Atau platform itu hanya untuk tindakan ""operasinya"" aja bukan dengan ""penanganan pasca operasinya"". Ketawa dulu deh sama RS yang bercita-cita sebagai RS rujukan, semoga cita-citanya tercapai.",negatif,Puskesmas kamal
ayu cuantiks,setahun lalu,"RS. Paling buruk dari segi pelayanan sama fasilitas.Ibu saya dirawat dengan ketidakpastian, sebentar2 ada kamar pas mau rapih2 gak tersedia kamarnya.Dan lagi ini RSUD lho seharusnya semua petugas dan dokternya baik.Kan kalian juga manusia moso melayani dengan ketus dan jutek gini.Yang sakit tambah sakit,yang sehat mau ngurus yg sakit yo ikut sakit.Satpam juga gaj bersahabat,negur saja pakai urat dan marah2.Kami itu pendatang dan berharap dilayani baik di RSUD.tapi dapat pelayanan buruk.Ayoklah bisa bebenah, saya baca comment2 disini banyakan buruknya.Admin sama managementnya kemana ini? Kok gak direspon buat diperbaiki.",negatif,Puskesmas kamal
rosie posie,setahun lalu,"Ruangan HCU untuk orang sakit parah kok gaada inisiatif ngidupin AC dari staf rumah sakit, pasien ada yang sakaratul maut ruangan dibiarkan tetap pengap sehingga pasien yang lain keikut stress kepanasan akhirnya beli kipas sendiri, perawat mondar mandir gaada inisiatif, padahal sudah melihat pasien kipas², pas ditanya ke staf satunya, suruh bilang ke staf satunya, terus aja mondar mandir.",negatif,Puskesmas kamal
syahrul amin,setahun lalu,"Dokternya yang bernama Rosida itu tidak punya hati nurani, bagaimana mungkin pasien lagi punya penyakit kronis dibilang gak ada obatnya disebutkan di depan pasien,pasti drop banget, seharusnya tdk disebutkan kalo emang ijazah dokter Rosida itu murni, psikis itu ngaruh ke imun pasien,paham dokter bodoh",negatif,Puskesmas kamal
betta galery,setahun lalu,Sangat kecewa sdah daftar online untuk ke poli tapi masih di suruh ngantri buat cetak no antrian Dateng pagi stgah 7 tapi petugas nya belum ada buat nyetak setelah nyampek poli meskipun sdah dpt no rendah TPI masih harus nunggu sesuai dengan meletak kan poli jadi percuma daftar online saya perhatikan lebih cepat yg manual ketimbang online semoga ada peningkatan dan perbaikan sistem yg jauh lebih baik,negatif,RSU Anna Medika Madura
longer,8 bulan lalu,"Pelayanannya jelek, ditambah lahan parkirnya yg terkesan diskriminatif bgt bagi para pemotor, jauuhhh bgt ke tiap gedungnya.",negatif,RSU Anna Medika Madura
fika anjani 327,setahun lalu,"Pelayanan dri RSnya bagus sii. Tpi untuk satpam ngk bgt, gk sopan, gk ramah. Dimana"" satpam kn harusnya ramah bukn malah sok""an. Gk semua orang tau peraturan RSnya seperti apa, jdi tugas satpam harusnya memberi tahu bukn mlah ngebentak. Saran sih satpamnya WAJIB DIEVAL",negatif,RSU Anna Medika Madura
lion sky,2 tahun lalu,"Pelayanan masih sangat tidak memuaskan: 1. Pelayanan system antrian poli mesinnya masih sering error, sidik jari sering tidak terbaca 2. Ruangan HD / cuci darah, AC rusak, TV rusak, kasian yg HD sampai pengab dan berkeringat. 3. Ruang Tunggu Poli sangat tidak layak, banyak yg duduk di lantai karena penuh (pelayanan lambat) Apa memang tidak ada perhatian dari pejabat berwenang....",negatif,RSU Anna Medika Madura
elong wewe,10  bulan lalu,Y allah udah sehari diem di igd g ad tindakan...smpek capek yg nanya..bilangx ntar dlu sabar,negatif,RSU Anna Medika Madura
annisa akbar,setahun lalu,Dear marbot yg di masjid!!!!!! Ga sopan bgt nuduh2 org ngotorin kamar mandi masjid sampe ngusir2 Namanya kamar mandi itu udah fasilitas umum kalo kotor ya d bersihin bkn nya malah nyuruh org buat bersihin yg pake kamar mandi bkn sya aja!! Klo nyuruh org buat bersihin kamar mandi trs kerja dia apa? Makan gaji buta kah?,negatif,RSU Anna Medika Madura
abdul kholik,2 tahun lalu,"Pelayanan yg sangat tidak memuaskan untuk pasien, banyak yg mengeluhkan pelayanan di rs ini terutama poli2 pasien bpjs, nomor antrean yg tidak teratur, petugas yg sangat jutek kepada pasien, kalau ada rs yg lebih baik mending jangan di rs syamrabu, mending cari rs yg lain yg lebih memuaskan pelayananya",negatif,RSU Anna Medika Madura
"oish ""hdxd"" noer",7 bulan lalu,"Pelayanan sangat tidak ramah , le tak ro karoan onggu politiknya luar biasa, tidak berperikemanusiaan, pasien rawat inap diperlakukan tidak adil dan tidak menyenangkan …",negatif,RSU Anna Medika Madura
29. tasya karisma utami,setahun lalu,"pelayanannya buruk sekali, kalau pasien bpjs pasti dilayani pualing belakang bahkan sampai sampai tidak di periksa oleh dokternya",negatif,RSU Anna Medika Madura
yudi yuda,setahun lalu,"Saya Sarankan dokter umum nya yang ramah ja,da dokter yg cewek agak kecil, merasa dianya dokter ucapan x gk mikir mikir dulu, cek komaangko takok atemmuh ...",negatif,RSU Anna Medika Madura
khairul anam,2 tahun lalu,Mohon infokan jika ada pasien hususnya yg mau ronsen jika tidak boleh di kasih makan dulu. Katanya gk bisa kalo udh makan dlu pasien nya. Nungghu dokter dari jam 7 pagi dan nunggu antrian lama banget.Pass nyampek no antrian katanya gak boleh lanjutkan ronsen kalo udah makan. Suruh nunggu 6 jam lagi baru bisa. Dan akhir nya sama dokter di suruh tunda besok. Dan gk boleh pulang ke rumah lagi. Kalo mau pulang harus daftar lagi katanya. Jadi. Saya malem ini nginap dsini cuma nunggu keperluan untuk besok. Kasihan anak saya masih balita. Kcewa banget.,negatif,RSU Anna Medika Madura
fauziah cynk,11 bulan lalu,"Saya orangtua bayi yang udh 1bulan di rawat di ruang nicu kamar neonatus,kemarin tanggal 1 mei anak saya kritis,saya gak di kasih jagaa cuman di kasih liat pas kritis stelah saturasi normal lg saya disuruh kluar Dan pas tgl 2mei jam 09:00 ank sy udh skaarat selang ventilator mau di copot sama perawat sana katanya masih bagus"" aja bayinya detak jantung masih bagus katanya,trus jam 12:00 jam besuk anak saya sudah kaku sudah dingin sudah pucet masih di bilang masih ada kata perawatnya,padahal pas saya bilang mau lepas selang ventilator ke dokter mega katanya gpp kalau sudah mau di lepas,karena ank saya bernafas hanya di bantu ventilator,Pas saya minta copot ventilator ke perawatnya katanya anak saya masih ada kalau mau di copot saya harus SEDIA MOBIL SENDIRI ,KALAU SAYA BELUM SIAP MOBIL PERAWAT NYA GAK MAU MENYOPOT SELANG VENTILATORNYA,PADAHAL POSISI ANAK SAYA SUDAH KAKU,SETELAH MOBIL SAYA DATANG SAYA MASIH DISURUH NUNGGU FOTOKOPI SURAT2 PULANG PAKSA,PADAHAL SAMA SEKALI SAYA TIDAK ADA NIAT PULANG PAKSA TAPI SAYA PULANG KARENA MEMANG SUDAH JEPAS ANAK SAYA SUDAH TIDAK ADA,SETELAH FOTOKOPI SURAT2 BARU VENTILATOR DI COPOT LALU ANAK SAYA DI ANGKAT DARI KASUR NYA ITU SAMA PERAWATNYA,SUDAH SANGAT KAKU ANK SAYA YANG DI ANGKAT SAMA MEREKA PAS DI BEDONG PUN SUDAH KAKUU SAMPAU MULUT DAN MATANYA DAK BISA DI TUTUP,SAYA PULANG DENGAN KEADAAN ANAK SAYA SUDAH MENINGGAL TAPI SAYA TIDAK DI ANTAR AMBULANC DAN SAYA MASIH DI KASIH SURAT KONTROL KARENA PERAWAT SANA MASIH MEYAKINI ANAK SY MASIH ADA PADHAL SUDAH JELAS ANAK SAYA SANGAT KAKU,ANAK SAYA MENINGGAL DAK ADA YG TAU BERATI,PAS ANAK SAYA MENGHEMBUSKAN NAFAS TERAKHIRNYA PERAWATNYA LALAI SAYA TDK DI PANGGIL TAU2 ANAK SAYA SUDAH KAKU, GPP SAYA IKHLAS MUNGKIN SUDAH JALAN ANAK SAYA SEPERTI INI TAPI WALLAHI PERAWAT YANG MENOLAK COPOT VENTILATOR PAS ANAK SAYA SUDAH KAKU SEMOGA SAMPEYAN BUKK MENGALAMI APA YANG SAYA ALAMI,DAN MERASAKAN APA YG SAYA RASAKAN. RSUD TERBURUK",negatif,RSU Anna Medika Madura
adi suhaidi,3 tahun lalu,"Doctor tidak professional datang telat terus, sedangkan ruang tunggu sudah penuh dengan pasien yg menahan sakit sambil menunggu di panggil dari pagi. Banyak biaya2, setiap ngantri aja harus bayar. Pelayanan tidak efisien. Prokes kurang.",negatif,RSU Anna Medika Madura
lukman ateng,setahun lalu,"Saran dari saya sebelum buka buat nomor antrian buka dulu loket cetak suratnya,saya sudah antri nomor di tanyain cetak suratnya,saya yg datang dari jam 5 terasa sia²,kan anj",negatif,RSU Anna Medika Madura
yasmin zaky,2 tahun lalu,"Sangat,sangat mengecewakan Tempat pengambilan obat nya lama sekali...dan hanya 1 orang saja yg menyerah kan obat...dan kasian buat org yg sakit,lansia dan rumah ny jauh...pdhl yg antri bnyak di nomer 20 sj harus nunggu 3jam untuk mendptkn obt...org yg gk sakit malah sakit..dan yg sakit mlah kecapean..",negatif,RSU Anna Medika Madura
lon,setahun lalu,"Kami periksa mata kena pelayanan jam 4 sore,untuk pengambilan kaca mata,tetapi apa yg saya dapat,alatnya canggi tapi dokternya tidak profosional,tdk tanggung jawab...pada pasiennya mau priksa teryata kaca mata sdh saya pesan tdk cocok,pada hal dokternya spialis mata...kok bisa dokter spisialis dan alat2nya canggi..tdk bisa menerapkan...gimana pasien lainnya yg di tanganinya saya nggak habis pikir...",negatif,RSU Anna Medika Madura
muhammad muslim,setahun lalu,"Pelayanan lambat, ruangan tunggu kurang memadai.",negatif,RSU Anna Medika Madura
Sifaturohmah 88,11 bulan lalu,"Pelayan kurang baik operasi sudah 2 kali gag sembuh"" malah tambah parah sangat"" mengecewakan",negatif,RSU Anna Medika Madura
Husnul Khotimah,2 tahun lalu,"pelayan nol. perawatnya LEMOT, apalagi di ruang igdnya. harus nunggu 8jam kalo mau masuk kamar opname. parah, opname 3 hari tapi gak pernah ada kunjungan dokter langsung.",negatif,RSU Anna Medika Madura
hapit bro,setahun lalu,"Respon pertama baik,tapi setelah itu responnya kurang baik, tolong lah di perbaiki sikap terhadap keluarga pasien sama pasiennya jangan anda menjadi kurang tidak sopan satu lagi dokternya kurang cekatan sudah berhari2 jawabannya nunggu dokter apa gunanya ada perawatan di sana emang dokternya kemana kok gak ngasih info apapun setiap di tanyak kondisinya pasien tetap jawab nya nunggu dokter sedangkan dokternya gak ada info mau sampai kapan kita nungguin info dokter nya sudah 6 hari lebih loh tolong buat yg bertugas di RS di perbaiki lagi sifatnya,sikapnya, pelayanan nya",negatif,RSU Anna Medika Madura
Fathur Rozi,4 tahun lalu,"pelayanan sangat buruk, Tidak professional dan transparan, kotor, ruang isolasi malah ada orang jualan nasi kotak keliling pagi, bayi baru lahir caesar langsung di bawa ke isolasi, 24 jam orang tua tidak dpt informasi apapun soal bayi, bahkan sampai lewat 24 jam keluarga nanya soal keadaan bayi beberapa kali gak di respon, dan harus pake emosi hanya untuk informasi. Perawat sama sekali tidak professional, malah minta pihak keluarga yg melakukan pekerjaan mereka.",negatif,RSU Anna Medika Madura
m ismail,2 tahun lalu,Terlalu banyak aturan.yg nunggu pasien ja susah kluar susah masuk banyak ini dan itu...banyak rumah sakit di ibu kota yg lebih besar tapi gk seribet rs sakit di daerah.,negatif,RSU Anna Medika Madura
wahyudi venus,setahun lalu,"Pelayanan yang sangat buruk dan lambat banget rumah sakit Segede itu pelayanan buruk dan lambat , semoga aja yang pernah ngerawat mama saya yang sembarangan semoga aja kalo sakit lebih parah dari mama saya yang di alaminya saya udah kecewa dengan pelayanan Disana orang sakit di buat mainan di kira boneka",negatif,RSU Anna Medika Madura
ivan daviq yunanta,2 tahun lalu,Proses pelayanan dri IGD untuk masuk ke kamar sangat lambat. Bisa nunggu sampai 5 jam. Heran rumah sakit besar tapi pelayanan gak di perbaiki.,negatif,RSU Anna Medika Madura
Fadjriha Noer,3 tahun lalu,"Kasirnya tidak ramah, mbak2 di loket tidak informatif. Yang sopan malah cm mbak2 satpam yg ngasih nomor antrian. Mau medical checkup dateng jam setengah 8 eh udah full katanya kuota medical checkup di hari itu, wow!",negatif,RSU Anna Medika Madura
Urwah Ambarak,3 tahun lalu,"Kasirnya tidak ramah, mbak2 di loket tidak informatif. Yang sopan malah cm mbak2 satpam yg ngasih nomor antrian. Mau medical checkup dateng jam setengah 8 eh udah full katanya kuota medical checkup di hari itu, wow!",negatif,RSU Anna Medika Madura
yakuto - Belajar Ngedit,5 tahun lalu,"Beberapa saat yang lalu paman saya masuk kesini, karna terserang struk. Menurutku pelayanan disini jauh dari kata bagus, banyak aparat yang gk ramah sama sekali dan tempat yang kurang terawat. Layanan untuk keluarga pasien juga jauh dr kata cukup dan pasien kuranh di perhatikan. Semoga lebih di perbaiki lagi.",negatif,RSU Anna Medika Madura
k conk dafin hariyanto,2 tahun lalu,Pengalaman anak saya umur 5 tahun 8 desember masuk IGD jam 5 pagi baru masuk kamar jam 11 siang lama skali.di IGD ada yang pakai kacamata agak kecinaan gitu spertinya dia penanggung jawab di IGD aduuh judes skali cara bicaranya ga enak.saya akan ingat trus dan smoga bisa ktemu d luar RS sma dia dan kamarnya ac mati trus iseng lihat lihat smua kamar ternyata stiap kamar banyak yang mati ac.suster anak ramah sabar smua bagus tapi satpam yang d belakang cara bicaranya sperti satpol PP.saya slalu ingat satpam yang baik dsana orang bergen socah aja sampai saya sungkan klau dia bicara dan smpai kenal dsana.sayang banget RS sbesar gitu d bangkalan kamarnya banyak minusnya sampai skarang,negatif,RSU Anna Medika Madura
Ainul Yakin,2 tahun lalu,"Saat melakukan kontrol ke poli paru, ada kesalahan dari pihak adm, tapi pasien yg disalahkan dan pada akhirnya si pasien tidak ditangani dengan benar.",negatif,RSU Anna Medika Madura
Risky Ahmad,4 tahun lalu,"Pelayanan kurang cekatan, dokter igd lelet.. mata kena gram besi dibilang tidak apa-apa, tidak ada pemeriksaan hanya dilakukan tindakan irigasi.. setelah dari rsud rato ebu ke klinik dokter spesialis mata ternyata gram besi masih ada dimata. Sayang sekali dokter igd rsud rato ebu dibayar tapi tidak ada pemeriksaan ke pasien.",negatif,RSU Anna Medika Madura
AMIRUDDIN FARID MUKH,5 tahun lalu,"AC d ruang tunggu dan lobby gk ada yg nyala, prlayanan jauh dr kata OK, urus smple darah harus kluarga pasien, ambil barcode pun harus wira wiri sana sini...penataan ruang kurang efektif, berkelok2 dan penunjuk arah kurang jelas. Penjaga sangat minim sehingga susah untuk bertanya",negatif,RSU Anna Medika Madura
Rania Aja,2 tahun lalu,"Pelayanan sangat buruk, lambat dan tidak ramah, ibu saya seharian dibiarin gk dikasih obat dan kamar Sampek ibu saya nangis2 kesakitan dan tidak ada tindakan cepat,saya sudah bertanya tapi banyak alesannya yang bikin kita geram, tolong untuk rumah sakit ini sistem diperbaiki lagi kasian orang sakit dapet pelayanan seperti itu!!!",negatif,RSU Anna Medika Madura
M. Abrisam Arief,2 tahun lalu,"pelayanan di IGD laaaaamaaaaa ga dapet2 kamar.. tanpa ada alasan yang jelas pula... sakit tipes dikasih makanan nasi + lauk berminyak + agk pedas.. itu buat pasien anak lo.. anak 4 tahun.. komplen ke perawat katanya ""SUDAH PERATURAN RUMAH SAKIT"" wah.. trnyata untuk menu makanan tidak melihat pasiennya siapa, umur berapa, sakit apa.. trnyata berlandasan ""SUDAH PERATURAN RUMAH SAKIT""..akhirnya bawa makanan sendiri dari rumah.. pkoknya g rekomen di rumah sakit ini..",negatif,RSU Anna Medika Madura
ALEX AKBAR AINUN YAKI,3 tahun lalu,"Rumah sakitnya sudah memadai dan bagus, tapi sayang dokternya datang terlambat Datang dari jam 7 sampai jam 10 masih belum datang, kecewa sekali dengan etos kerjanya",negatif,RSU Anna Medika Madura
Isyek Ulumudz,setahun lalu,"Pelayanan poli seperti di perlambat Petugasnya cuma ngombrol, yang antri dari pagi sampek siang, beda dengan hari jum'at Tolonglah jangan buang buang waktu,",negatif,RSU Anna Medika Madura
Anggie Dedy,setahun lalu,"Tolong keahlian dokternya di tingkatkan dong, kadang salah diagnosa. Jangan berikan dokter ambal2.",negatif,RSU Anna Medika Madura
Prianto Anto,setahun lalu,"Pelayanan obat buruk lama sekali mw jam blom dpt pnggiln,di depo farmasi rawat jalan 2",negatif,RSU Anna Medika Madura
Ayundia Chanell,2 tahun lalu,"Pelayanan mulai dari IGD sampe ke ruangan Pav Dahlia.. bener"" lama Mau masuk rawat inap lama banget, mau KRS pun lama juga Alasan setiap di tanya, selalu jawabannya sama Bidang pelayanan itu harus mengutamakan ke efektifan, dan ke efesiennya Dan keramahan pastinya Ini Paviliun loh.. Tlong di tindak lanjuti pelayanannya",negatif,RSU Anna Medika Madura
BS Bang salman (BS),2 tahun lalu,"Pelayanan buruk, masak ibu saya d fonis operasi dengan biaya 100jt dan bilang ""itupun gak bisa jamin bisa disini, mungkin masih harus rujuk ke Surabaya, pas saya bawa sendiri ke Surabaya biaya operasinya hanya 8 juta dan Alhamdulillah baik, semoga terus baik, untuk RS Syarifah Ambami tolong perhatikan semua pihak, jangan memeras orang sakit",negatif,RSU Anna Medika Madura
Lee MoonGi,5 tahun lalu,Pelayanannya kurang bagus. pelayanan ditempat parkir sepeda masih kurang baik. Yg bertugas masih ada yg belum peka. Untuk ruang tunggu keluarga pasien masih perlu dibenahi dan dijaga kebersihannya. Lebih diperketat lagi siapa saja yg boleh masuk melalui jalan radiologi.,negatif,RSU Anna Medika Madura
Doctor Slots,4 tahun lalu,"Rumah sakit terburuk sepanjang sejarah yg dimiliki satu dari beberapa kabupaten di indonesia!!! Pelayanan buruk... Suster nya santai santai tidak responsif terhadap pasien... Sudah berpuluh puluh kali orang mengeluh, banyakkasus orang meninggal yang dirawat disini karna SALAH OBAT... Tidak berpengalaman... Dan Tidak bertanggung jawab!!!!",negatif,RSU Anna Medika Madura
Fathur Rozi,3 tahun lalu,"Pelayanan penjaga kurang memuaskan mau ganti yg jaga pasien saja di persulit banget gak di kasih masuk padahal yg tunggu pasien 1 orang malah suruh ke bawah jemput yg mau ganti, seumpama terjadi kejadian yg tidak di inginkan ke pasien siapa yg mau tanggung jawab??",negatif,RSU Anna Medika Madura
Tholip Almubarok,4 tahun lalu,"Rumah sakit besar tapi tak jelas Apakah di rumah sakit ini di wajibkan bahasa Madura, terus bagaimana dengan yang tidak mengerti bahasa Madura??? baru kali ini nemu rumah sakit ada yang orang jualan main masuk² aja keruangan pasyen, Pelayanan nya sangat tidak baik saya bayar tunai bukan BPJS ... Pelayanan sangat buruk...",negatif,RSU Anna Medika Madura
Me Funny,5 tahun lalu,"Tolong ditingkatkan dalam pelayanannya, karena ini menyangkut keselamatan dan kesehatan. Disini seluruh staff tidak bertanggung jawab sepenuhnya. Di UGD pun pada bermain gadget dan bercanda gurau. Harap semua pintar pintar dalam memilih rumah sakit.",negatif,RSU Anna Medika Madura
H.ismail Suud,2 tahun lalu,Pelayanan buruk banget terutama untuk perawat nya apa bisa ngrlayanin nya dengan senyuman Ndak usah yang namanya bentak bentak kalao ngomong .,negatif,RSU Anna Medika Madura
Syafi'i Ns,8 tahun lalu,"Bangunan sangat bagus fasilitas sdh lengkap sesuag tipe RS, tapi msh ada oknum petugas yg masih kurang ramah pada pasien terutama pasien dari Desa",negatif,RSU Anna Medika Madura
Akmal Maulana,2 tahun lalu,"Lobby rumah sakit panas sekali, bikin keringetan.",negatif,RSU Anna Medika Madura
Ainul Yakin,setahun lalu,"Sistem buat kontrolnya kacau banget, nomor kontrolnya katanya gk bisa di input, dan alhasil harus nunggu beberapa jam. Padahal nomor antrian saya yang pertama.",negatif,RSU Anna Medika Madura
Jaden Hendrawan,5 tahun lalu,"Pelayanannya jauh dr kata bagus, antrii lamaa, tempat duduk kurang, mau operasi nunggu berjam"" tidak ada kepastian mulai jam brp. Kamar mandi kotor ada kotoran d kloset tidak dibersihkah bau... Handrub juga bnayak yg kosong. Padahal naik grab harusnya tidak kena parkir petugasnya ad yg maksa minta uang parkir",negatif,RSU Anna Medika Madura
endri februanita,3 tahun lalu,"Tak akan lagi test PCR di RS ini tidak akurat dan pegawai di lab sangat tidak ramah,sy langsung test lg di RS Surabaya hasilnya NEGATIF !!!",negatif,RSU Anna Medika Madura
siti fatimaturrohmah,setahun lalu,Teruntuk oknum perawat poli dalam yg ketus tolong yang ramah,negatif,RSU Anna Medika Madura
Hari Saktiy,2 tahun lalu,Pelayanan begitu lambat nunggu kursi roda aja pas mau pulang sampe hampir 2jam blom dapet di kamar sakura,negatif,RSU Anna Medika Madura
Alamul Huda,5 tahun lalu,"Banyak aturan yg gak masuk akal, karyawan kurah ramah dan ruang tunggu pasien jauh dari kata layak, malah hampir mirip sama ruang tunggu sopir truk di pabrik2....",negatif,RSU Anna Medika Madura
Moch. Firman Agus N.M,2 tahun lalu,Rumah sakit apaan ini pelayanan lemot walaupun gak pakai bpjs bisa2 mati semua orang2 yang ada di rumah sakit ini pelayanannya parah,negatif,RSU Anna Medika Madura
Dian Wijayanti,4 tahun lalu,Pelayanan kurang ramah khususnya di medical checkup dan tidak memberikan pelayanannya prima. Manajemen pelayanannya juga tidak bagus. Sangat kecewa sekali..,negatif,RSU Anna Medika Madura
nur jannah,setahun lalu,Rumah sakit paling ribet..!!! Pelayanan nya songong. Rumah sakit amit amit.,negatif,RSU Anna Medika Madura
Wahyudin Rahmatullah,8 tahun lalu,"Pelayanan kurang, perawatan dan penanganan sangat mengecewakan, peraturan terlalu ketat dan banyak keluhan dari keluarga pasien.",negatif,RSU Anna Medika Madura
Ahmadyamin Yamin,sebulan lalu,Pelayanan kurang memuaskan,negatif,RSU Anna Medika Madura
Abdul Hakim,3 tahun lalu,Jelek banget. Aku test darah smpe 5X ternyata gak kena ini dan itu... Sampe duit abis sejuta lebih..,negatif,RSU Anna Medika Madura
masri'a masri'a,2 tahun lalu,Pelayanan buruk dan lelet padahal dapet nomor antrian 60 gak kelar kelar dari pagi sampek sore pelayanan juga cuek dan tidak di arahkan,negatif,RSU Anna Medika Madura
coco alqahtani,6 tahun lalu,Tempat baik Cuma kurangnya ruang tunggu bagi pasien Terlalu jauh apalagi ruang tunggu yg disediakan kotor tidak layak...,negatif,RSU Anna Medika Madura
IRJAS LANTIBA (Ayah Reffa),3 tahun lalu,"PELAYANAN LELET.... PASIEN UDAH diputuskan PULANG , PELAYAN Administrasi LELET bangett, masak disuruh nunggu udah 3 jam, alasan masih nulis,...BIAYA AJJA KENA 12 JUTA LEBIHHH.",negatif,RSU Anna Medika Madura
Zainul Akbar,setahun lalu,Pelayanan buruk dalam hal antrian.... Perlu banyak pembenahan,negatif,RSU Anna Medika Madura
Hasun Andreansyah,5 tahun lalu,Khusus buat perawat dan cleaning servicenya bener ² kurang ramah dan sangat judes kurang senyum,negatif,RSU Anna Medika Madura
Diena Anjani,3 tahun lalu,Pelayanannya gak banget... Bidannya cuma cerita2 sambil ketawa,negatif,RSU Anna Medika Madura
Ibi Ibok,3 tahun lalu,"Kebersihan kurang, Ga punya gudang bed,sampe berceceran bed nya",negatif,RSU Anna Medika Madura
Iib Hilwa,8 bulan lalu,"customer service dungu, di tanyakan sesuatu malah dungu",negatif,RSU Anna Medika Madura
D 2 O,setahun lalu,Pelayanan kurang memuaskan. Petugasnya kurang ramah.,negatif,RSU Anna Medika Madura
MOH. SYAFII,5 tahun lalu,Pelayanan jelek sekali Padahal rumah sakit daerah,negatif,RSU Anna Medika Madura
Marwa Majidah,5 tahun lalu,"Sistem masih kacau, pelayanannya buruk sekali.",negatif,RSU Anna Medika Madura
eb sueb,3 tahun lalu,Pelayanan IGD yg Buruk.....,negatif,RSU Anna Medika Madura
Fariz Pratama,setahun lalu,Ruangan kamar kotor,negatif,RSU Anna Medika Madura
reza Aditya,6 tahun lalu,"PELAYANAN SANGAT BURUK, karma is real !",negatif,RSU Anna Medika Madura
Arvahsyah Arifin,2 tahun lalu,"Sanitasi yang tidak sesuai standar rumah sakit ,sabun cuci tangan,hand sanitizer dan kamar mandi yang kotor ,seakan tidak ada pembenahan sama sekali",negatif,RSU Anna Medika Madura
narifah Ifah,11 bulan lalu,Diruang edelwis kita para penunggu pasien anak komplen AC gk dingin karna rusak eh atelah responnya lama malah AC dperbaiki dan malah sangat dibikin dingin sehingga pasien dsebelah yg sdh sehat malah makin sakit lagi mana sebagian perawatnya ada yg sangat galak sekali kerjaannya ngomel² terus …,negatif,RSU Anna Medika Madura
Mesnati Etik,2 tahun lalu,"Satpamnya galak"" terutama di pintu belakang. Seharusnya disesuaikan dengan instansinya kalau di RS jangan samakan dengan satpol PP, udah keluarga kena musibah masih dibentak bentak dan dipersulit akses masuk padahal penunggu di kamar.",negatif,RSU Anna Medika Madura
Bagus Abdillah,setahun lalu,Biaya pembuatan surat keterangan sehat disini sebesar 85ribu. Kacau banget pas di lantai 2. Gak ada yg ngejelasin alurnya.,negatif,RSU Anna Medika Madura
